FRSZ,FRSA,FragZ,FragA,FRSZcentre,FRSZsigma,FRSAQcentre,FRSAQsigma,FragZcentre,FragZsigma,FragAQcentre,FragAQsigma
20,49,20,42,20,0.111,2.45,0.00134,19.9945,0.138149,2.12179,0.00672
20,49,20,43,20,0.111,2.45,0.00134,19.9945,0.138149,2.15325,0.00672
20,49,20,44,20,0.111,2.45,0.00134,19.9945,0.138149,2.20182,0.00672
20,49,20,45,20,0.111,2.45,0.00134,19.9945,0.138149,2.22526,0.00672
20,49,20,46,20,0.111,2.45,0.00134,19.9945,0.138149,2.27732,0.00672
20,49,20,47,20,0.111,2.45,0.00134,19.9945,0.138149,2.33683,0.00672
20,49,20,48,20,0.111,2.45,0.00134,19.9945,0.138149,2.39395,0.00924179
20,49,20,49,20,0.111,2.45,0.00134,19.9945,0.138149,2.44979,0.00909837
20,50,20,38,20,0.111,2.5,0.00134,19.9945,0.138149,1.93898,0.00672
20,50,20,39,20,0.111,2.5,0.00134,19.9945,0.138149,1.97705,0.00672
20,50,20,40,20,0.111,2.5,0.00134,19.9945,0.138149,2.02407,0.00672
20,50,20,41,20,0.111,2.5,0.00134,19.9945,0.138149,2.05675,0.00672
20,50,20,42,20,0.111,2.5,0.00134,19.9945,0.138149,2.10518,0.00672
20,50,20,43,20,0.111,2.5,0.00134,19.9945,0.138149,2.14302,0.00672
20,50,20,44,20,0.111,2.5,0.00134,19.9945,0.138149,2.19515,0.00672
20,50,20,45,20,0.111,2.5,0.00134,19.9945,0.138149,2.25744,0.00672
20,50,20,46,20,0.111,2.5,0.00134,19.9945,0.138149,2.3034,0.00672
20,50,20,47,20,0.111,2.5,0.00134,19.9945,0.138149,2.32776,0.00672
20,50,20,48,20,0.111,2.5,0.00134,19.9945,0.138149,2.38388,0.00672
20,50,20,49,20,0.111,2.5,0.00134,19.9945,0.138149,2.44021,0.00917116
20,50,20,50,20,0.111,2.5,0.00134,19.9945,0.138149,2.49788,0.0107981
20,51,20,38,20,0.111,2.55,0.00134,19.9945,0.138149,1.90952,0.0149995
20,51,20,39,20,0.111,2.55,0.00134,19.9945,0.138149,1.95327,0.0149995
20,51,20,40,20,0.111,2.55,0.00134,19.9945,0.138149,1.97671,0.00672
20,51,20,41,20,0.111,2.55,0.00134,19.9945,0.138149,2.04942,0.00672
20,51,20,42,20,0.111,2.55,0.00134,19.9945,0.138149,2.1059,0.00672
20,51,20,43,20,0.111,2.55,0.00134,19.9945,0.138149,2.16055,0.00672
20,51,20,44,20,0.111,2.55,0.00134,19.9945,0.138149,2.1978,0.00672
20,51,20,45,20,0.111,2.55,0.00134,19.9945,0.138149,2.24426,0.00672
20,51,20,46,20,0.111,2.55,0.00134,19.9945,0.138149,2.30601,0.00672
20,51,20,47,20,0.111,2.55,0.00134,19.9945,0.138149,2.36089,0.00672
20,51,20,48,20,0.111,2.55,0.00134,19.9945,0.138149,2.38438,0.00672
20,51,20,49,20,0.111,2.55,0.00134,19.9945,0.138149,2.42969,0.00672
20,51,20,50,20,0.111,2.55,0.00134,19.9945,0.138149,2.49014,0.0151163
20,51,20,51,20,0.111,2.55,0.00134,19.9945,0.138149,2.5462,0.0107259
20,52,20,38,20,0.111,2.6,0.00134,19.9945,0.138149,1.90952,0.0149995
20,52,20,39,20,0.111,2.6,0.00134,19.9945,0.138149,1.95327,0.0149995
20,52,20,40,20,0.111,2.6,0.00134,19.9945,0.138149,2.00062,0.0149995
20,52,20,41,20,0.111,2.6,0.00134,19.9945,0.138149,2.04757,0.0149995
20,52,20,42,20,0.111,2.6,0.00134,19.9945,0.138149,2.09649,0.0149995
20,52,20,43,20,0.111,2.6,0.00134,19.9945,0.138149,2.15004,0.0149995
20,52,20,44,20,0.111,2.6,0.00134,19.9945,0.138149,2.20394,0.0149995
20,52,20,45,20,0.111,2.6,0.00134,19.9945,0.138149,2.24682,0.0149995
20,52,20,46,20,0.111,2.6,0.00134,19.9945,0.138149,2.26198,0.00672
20,52,20,47,20,0.111,2.6,0.00134,19.9945,0.138149,2.35563,0.0149995
20,52,20,48,20,0.111,2.6,0.00134,19.9945,0.138149,2.40194,0.0149995
20,52,20,49,20,0.111,2.6,0.00134,19.9945,0.138149,2.44857,0.0149995
20,52,20,50,20,0.111,2.6,0.00134,19.9945,0.138149,2.49339,0.0149995
20,52,20,51,20,0.111,2.6,0.00134,19.9945,0.138149,2.54802,0.0149995
20,52,20,52,20,0.111,2.6,0.00134,19.9945,0.138149,2.58849,0.0111999
