FRS Z, FRS A, Frag Z, Frag A, Paddle 1, Paddle 2, Paddle 3, Paddle 4, Paddle 5, Paddle 6, Paddle 7, Paddle 8, Paddle 9, Paddle 10, Paddle 11, Paddle 12, Paddle 13, Paddle 14, Paddle 15, Paddle 16, Paddle 17, Paddle 18, Paddle 19, Paddle 20, Paddle 21, Paddle 22, Paddle 23, Paddle 24, Paddle 25, Paddle 26, Paddle 27, Paddle 28, total, total3, total_ratio 2sigma-3sigma
16, 42, 16, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1
16, 42, 16, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -nan
16, 42, 16, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0.666667
16, 42, 16, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35, 34, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 86, 0.94186
17, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 10, 53, 319, 373, 135, 37, 32, 19, 12, 11, 4, 5, 0, 2, 0, 1014,0 ,0
17, 39, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 0.636364
17, 39, 16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 0.857143
17, 39, 16, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1
17, 39, 16, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -nan
17, 39, 17, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 6, 7, 0.857143
17, 39, 17, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 0.916667
17, 39, 17, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 7, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 13, 18, 0.722222
17, 39, 17, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29, 217, 281, 72, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 601, 757, 0.793923
17, 40, 0, 0, 0, 0, 2, 2, 0, 4, 11, 10, 24, 24, 39, 55, 161, 598, 5975, 23030, 28476, 8232, 2594, 2200, 1809, 1521, 1155, 814, 528, 104, 92, 0, 77460,0 ,0
17, 40, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 26, 88, 148, 150, 84, 14, 1, 0, 0, 0, 0, 0, 0, 522, 677, 0.771049
17, 40, 16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 19, 65, 108, 85, 35, 17, 3, 1, 0, 0, 0, 0, 0, 0, 339, 437, 0.775744
17, 40, 16, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 33, 76, 143, 100, 34, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 396, 488, 0.811475
17, 40, 16, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 30, 75, 40, 8, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 212, 0.768868
17, 40, 16, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0.666667
17, 40, 17, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 4, 1, 14, 39, 154, 51, 3, 0, 0, 0, 0, 0, 271, 383, 0.707572
17, 40, 17, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 46, 103, 157, 44, 4, 1, 0, 0, 0, 1, 0, 364, 452, 0.80531
17, 40, 17, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10, 66, 119, 167, 142, 12, 1, 0, 0, 0, 0, 0, 0, 521, 694, 0.75072
17, 40, 17, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 25, 81, 324, 378, 167, 35, 5, 0, 2, 0, 0, 0, 0, 0, 1019, 1366, 0.745974
17, 40, 17, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 245, 4534, 18028, 22238, 4787, 185, 15, 2, 6, 6, 1, 1, 0, 1, 0, 50054, 58542, 0.85501
17, 41, 0, 0, 2, 0, 3, 4, 7, 22, 61, 49, 114, 102, 170, 261, 886, 4347, 45554, 149792, 155014, 43140, 14463, 12629, 11407, 10126, 8211, 6152, 4404, 1076, 887, 0, 468883,0 ,0
17, 41, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 7, 48, 175, 487, 792, 795, 263, 24, 9, 1, 1, 0, 0, 0, 2606, 3243, 0.803577
17, 41, 16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 40, 166, 391, 646, 549, 297, 60, 4, 2, 1, 0, 1, 0, 0, 2165, 2702, 0.801258
17, 41, 16, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 6, 41, 207, 599, 808, 663, 223, 63, 10, 1, 0, 2, 1, 1, 1, 0, 2629, 3301, 0.796425
17, 41, 16, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28, 127, 374, 525, 365, 108, 27, 4, 2, 0, 0, 1, 0, 0, 0, 0, 1565, 1973, 0.793208
17, 41, 16, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 112, 346, 529, 276, 84, 14, 3, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1381, 1743, 0.792312
17, 41, 16, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 0.583333
17, 41, 17, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 14, 18, 29, 65, 613, 660, 257, 23, 2, 0, 0, 0, 1696, 2185, 0.776201
17, 41, 17, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 34, 27, 61, 179, 463, 547, 277, 56, 1, 0, 1, 0, 0, 1651, 2130, 0.775117
